module,tab,group,field,fields,description,usage,format,allowed values,examples
ecatalogue,Catalog,Collection Custody,Museum,- CatMuseum,The name of the museum that has custody of the specimen,Required for all records,,- NMNH,
ecatalogue,Catalog,Collection Custody,Museum Acronym,- CatMuseumAcronym,"The acronym used when displaying the catalog number. Most specimens at NMNH use the acronym ""USNM"" (short for United States National Museum), but both **Mineralogy** and **Petrology & Volcanology** switched to ""NMNH"" decades ago, much to the consternation of various parties.
",Required for all records,,"- NMNH *(Mineralogy and Petrology & Volcanology)*
- USNM *(Meteorites)*",
ecatalogue,Catalog,Collection Custody,Department,- CatDepartment,The name of the department that has custody of the specimen,Required for all records,,- Mineral Sciences,
ecatalogue,Catalog,Collection Custody,Division,- CatDivision,The name of the division within a department that has custody of the specimen,Required for all records,,"- Meteorites
- Mineralogy
- Petrology & Volcanology",
ecatalogue,Catalog,Collection Custody,Catalog,- CatCatalog,The name of the catalog within the division. Only **Mineralogy** has multiple catalogs (Gems and Minerals).,Required for all records,,"- Gems
- Meteorites
- Minerals
- Rock & Ore Collection",
ecatalogue,Catalog,Collection Custody,Collection Name,- CatCollectionName_tab,"The name of the collection or collections the specimen has been assigned to. Each division divides its holdings into collections, that is, subsets with some common feature. Collections may be named after collectors, donors, or an aspect of the collection itself (like a specific place, project, or specimen type).
",Recommended for all records,"Include the word ""Collection"" in each collection name. For collections named after a person, use their full name if possible. A single specimen may be assigned to multiple collections. For example, a type mineral might include both the Type Minerals Collection and a collection named after the collector.
",,"- Inventory Collection
- Sea Floor Rock Collection
- Washington A. Roebling Collection"
ecatalogue,Catalog,Cataloging Details,Prefix,- CatPrefix,"An alphabetic prefix added to the beginning of the catalog number to specify a catalog number series. A series is similar to a collection. **Mineralogy** uses prefixes to distinguish series.
",Omit if record is not part of a prefixed series,A single capital letter,"- B *(Bosch)*
- C *(Canfield)*
- G *(Gems)*
- M *(Micromount)*
- R *(Roebling)*
- S *(Synthetic)*",
ecatalogue,Catalog,Cataloging Details,Number,- CatNumber,"The numeric part of a catalog number. A catalog number may represent a single specimen or a group of related specimens.
",Required for all records,"The Antarctic meteorites collection in **Meteorites** uses the same catalog number to represent all the specimens from a single field collected during a single year. It does not assign suffixes to individual records. Catalog numbers are essentially worthless for this collection, and it is best to refer to individual Antarctic meteorites by the NASA-style meteorite number.

**Petrology & Volcanology** often uses a single catalog number to represent a group of related specimens, for example, specimens collected at a single locality by the same collector. Individual specimens may be distinguished by suffixes.",,
ecatalogue,Catalog,Cataloging Details,Suffix,- CatSuffix,An alphanumeric suffix used to distinguish specimens with the same catalog number.,Omit if no appropriate data is available,"Suffix format and meaning vary by division. When publishing the catalog number, suffixes should be delimited with a hyphen.

**Mineralogy** typically uses a two-character alphanumeric suffix. Numeric suffixes are zero-padded to two-characers if needed (for example, ""1"" becomes ""01""). The first specimen for a given catalog number is assigned the suffix ""00"" (but note that this suffix is often omitted when catalog numbers are published.)

**Petrology & Volcanology** typically uses a numeric suffix. Suffixes are *not* zero-padded. In labels for GGM, suffixes were zero-padded to four characters, but this is not typical.",,
ecatalogue,Catalog,Cataloging Details,Barcode,- CatBarcode,,Not used,,,
ecatalogue,Catalog,Cataloging Details,Part Number,- CatPartNumber,,Not used,,,
ecatalogue,Catalog,Cataloging Details,Whole/Part,- CatWholePart,"Whether a record represents a specimen in its entirety or a part of a complex specimen. For example, consider a specimen from the mineral collection containing multiple species. In some cases, each species has been cataloged separately, in which case using ""Part"" in this field would be appropriate.
",Required for all specimens,,"- Part
- Whole",
ecatalogue,Catalog,Cataloging Details,Cataloged By,- CatCatalogedByRef,"A reference to the party record for the cataloger. For new records, the cataloger is the person who creates the digital record, either by creating a record in the client or submitting a record in another format to be imported.
",Omit if no appropriate data is available,,,
ecatalogue,Catalog,Cataloging Details,Date Cataloged,- CatDateCataloged,"The date the specimen was cataloged. For records entered directly into the client, the cataloged date is the date the record is created. For imported records, the cataloged date is the date the import spreadsheet was submitted to the data manager. For records first entered into an earlier database, the cataloged date is the entry date in the ledger.
",Omit if no appropriate data is available,,,
ecatalogue,Catalog,Cataloging Details,Kind Of Object,- CatObjectType,The type of object represented by the record,Required for all records,,- Specimen/Object,
ecatalogue,Catalog,Counts,Specimen Count,"- CatSpecimenCount
- CatSpecimenCountModifier","The number of objects represented by this record. 
",Required for all records,"Counting objects can be tricky, so here are some general guidelines:

The count is based on the primary object represented by a record. For most records, this will be a rock or mineral, in which case the count will be the number of rock/mineral fragments. Preparations, like thin sections or powders, are counted separately using the preparation grid.

For some records, the primary object is itself a prepation, like vial of powder or box of thin sections. In this case, the specimen count is the number of preparations.

**Mineralogy** sometimes uses ""10"" or ""100"" with a modifier of ""plus"" to signify that there are a large number of objects that have not been counted exactly.",,"- Box containing three large rock fragments: 3
- Box containing a hand sample and vial of power: 1
- Box of 200 thin sections: 200"
ecatalogue,Catalog,Counts,Original Count,"- CatOriginalCount
- CatOriginalCountModifier",,Not used,,,
ecatalogue,Catalog,Counts,Other Counts,"- CatOtherCountsType_tab
- CatOtherCountsValue_tab",,Not used,,,
ecatalogue,Catalog,Counts,Other Numbers,"- CatOtherNumbersType_tab
- CatOtherNumbersSource_tab
- CatOtherNumbersValue_tab","Additional identifiers used to refer to the specimen, like the field number assigned by the collector.",Omit if no appropriate data is available,"Each row must include both Kind and Value. Source is rarely populated and can be omitted. Examples of typical kinds are provided below.

Identifiers should be populated verbatim. Previous collections staff sometimes zero-padded identifiers to a common length so that they would sort properly in a spreadsheet. Do not do this! It makes it difficult to find occurrences of those specimens in the literature.

Each identifier should be given its own row in the grid. Do not combine multiple identifiers into a single row, even if they are the same kind.

The first row with the Kind ""Collector's field number"" will appear in the summary line at the top of the record.

The other numbers grid has been used to store information about recataloged specimens. This information is often ambiguous. For example, some specimens were recataloged only in part, which is not always clear from entries in the other number grid. This information should be added to the Relationships tab instead.
",,"- Collector's field number
- IGSN
- Lab number
- Parent IGSN
- VG number"
ecatalogue,Status,Object/Remains Status,Accession Status,- StaAccessionStatus,The current accession status,Populated automatially?,,,
ecatalogue,Status,Object/Remains Status,TM Status,- StaTMStatus,"The current transaction status. Note that incorrect transaction records (especially partial disposals that are not entered properly) can prevent a given record from being attached to a new transaction.
","Populated automatically when this record is linked to a loan or disposal in the Transactions module if the whole specimen is part of the transaction
",,"- Deaccessioned
- Disposed
- On Loan
- Pending Deaccession
- Pending Disposal
- Pending Loan",
ecatalogue,Status,Object/Remains Status,Record Quality,- StaRecordQuality,"The quality of the record as an integer between 2 and 4, where increasing numbers represent increasing completeness of the record. Used primarily to generate statistics for museum- or institution-wide collections reports.
","Populated automatically based on a department-specific rubric integrated into the EMu backend. The rubric can only be modified by contacting Informatics.
",,,
ecatalogue,Status,Object/Remains Status,Primary Collection,- StaPrimaryCollection,"The name of the collection used for reporting by the museum or institution. Each division defined its own collections, which are based on the collection name, storage location, or collection locality.

Primary collections are used to track the health of the collection over time, so it's generally best to use the same ones each year. If a new primary collection is needed, contact the Registrar and Informatics.
","Required for all records, but not the responsibility of the cataloger. This field is populated annually by the data manger.
",,,
ecatalogue,Status,Inventory Status,Inventory Status,"- StaInventoryStatus_tab
- StaInventoryRecordedByRef_tab
- StaInventoryDate0
- StaInventoryRemarks_tab",Records an inventory event,Required for documenting inventories,"Inventory status, recorded by, and data recorded must be populated in each row. Status will ultimately be standardized to a small number of options (""Found"" and ""Not found"" are the only ones that spring to mind right now). Remarks are optional and can be used to provide more detail about the inventory.

Inventories are the only actions that should be documented in this grid. Fields in this grid have been used to document actions like disposals, exchanges, and transfers between divisions (i.e., recataloging). These actions should be documented elsewhere. Actions related to transactions, including loans, dispoals, and exchanges should be documented in the Transactions module. Recataloged specimens should be documented using the Relationships tab.

The grid has not been cleaned, and the lookup still contains the non-preferred values.
","- Found?
- Not Found?",
ecatalogue,Status,Record Status,Record Status,"- StaRecordStatus_tab
- StaRecordRecordedByRef_tab
- StaRecordDate0
- StaRecordRemarks_tab","Records the source of the EMu record if it was loaded from a previous database, like Paradox or SELGEM.
","Not used, except to document records imported from previous databases. In the future, this field may be used to mark records that have been validated, but the specifics for doing so have not been worked out.
",,,
ecatalogue,Identification,Identification Details,Taxon,- IdeTaxonRef_tab,The name of the rock or mineral,Required,Reference to Taxonomy,,
ecatalogue,Identification,Identification Details,Qualifier,- IdeQualifier_tab,Used to express uncertainty in the identification,Omit if high confidence in the identification,"Must be ""uncertain"" if populated",,
ecatalogue,Identification,Identification Details,Qualified Name,- IdeQualifiedName_tab,The qualified name of the rock or mineral,Populated automatically by EMu,"Usually the display name of from Taxon. If Qualifier is ""uncertain"", a question mark will be appended to the value in this field to denote that uncertainty.",,
